League,Team,Performance_Axis,Game_Control_Axis,Average_salary(€m),Cluster_Label,Goals_scored/90,xG/90,Goals_conceded/90,xG_conceded/90,Shot_conversion_rate(%),Big_chances_conversion rate,Possession(%),Pass/90,Long_balls/90,Crosses/90,Clearances/90,Possession_won_midfield/90,Possession_won_attacking_3rd/90,Touches_in_opposition_box/90,Tackles/90,Interceptions/90,Saves/90
France,Lens,1.8569142246312675,2.51682190577493,1.821414,Cluster 2,1.9,2.0,1.0,1.3,11.8,29.729729729729726,51.1,463.29411764705884,44.20432220039293,22.448979591836736,20.6,22.4,5.3,30.7,18.7,10.6,2.4
France,Lille,1.3465033976602119,3.126346643591622,1.948814,Cluster 2,1.5,1.6,1.1,1.1,11.3,38.46153846153846,55.8,496.9519343493552,45.67219152854512,18.93004115226337,18.6,19.6,5.3,30.0,15.1,9.3,2.2
France,Lorient,0.41489606151821684,-0.7229265998093857,0.9671,Cluster 3,1.4,1.3,1.5,1.4,12.5,44.99999999999999,45.4,426.8867924528302,46.56188605108055,15.859030837004406,26.0,15.3,3.3,19.1,13.7,8.5,2.4
France,Lyon,1.4106804551470122,1.2631868730742222,1.132968,Cluster 3,1.6,1.6,1.2,1.3,12.7,40.74074074074075,54.6,466.9005847953216,45.564516129032256,20.26431718061674,23.1,17.0,3.8,25.9,14.6,7.3,2.8
France,Marseille,1.4743733622381099,3.0209753085866287,2.721273,Cluster 1,1.9,1.8,1.3,1.4,12.3,36.66666666666667,56.9,540.6818181818182,40.16227180527383,17.289719626168225,18.5,20.4,4.4,25.3,14.9,8.1,2.6
France,Metz,-2.7444625408295704,-1.655734370762512,0.930341,Cluster 3,0.9,1.0,2.2,1.8,9.4,42.85714285714285,48.9,451.57159487776477,52.906976744186046,18.10344827586207,22.6,16.0,2.6,16.3,16.7,8.0,3.6
France,Monaco,1.4317056977948777,2.15927622615629,2.497575,Cluster 2,1.8,1.7,1.6,1.5,14.1,44.827586206896555,53.7,480.57210965435036,42.06008583690987,17.333333333333332,20.7,21.4,5.4,26.3,17.5,10.4,2.8
France,Nantes,-1.813542261212379,-1.9501020944211913,1.306045,Cluster 0,0.9,1.1,1.5,1.4,7.7,35.29411764705882,42.5,342.98356510745896,48.095238095238095,16.0,25.5,16.2,3.2,20.3,16.8,8.5,3.2
France,Nice,-2.2252922240156128,-0.4431824076840577,2.28176,Cluster 0,1.1,1.3,1.8,1.7,9.7,24.0,46.3,417.049576783555,43.66515837104072,18.518518518518515,24.5,19.8,3.6,19.6,15.8,9.6,3.3
France,Paris FC,-0.009369680542547167,-0.08995057965429361,1.525079,Cluster 3,1.4,1.3,1.5,1.6,11.8,45.83333333333333,50.4,467.72673733804476,51.17773019271948,15.833333333333334,26.7,17.0,3.6,21.3,15.7,7.8,2.5
France,Paris Saint-Germain,3.519962326243407,6.747185526858199,8.779011,Cluster 1,2.2,2.1,0.9,0.9,12.3,37.83783783783785,68.8,723.3552631578948,42.8343949044586,15.15151515151515,13.7,22.2,5.8,35.7,14.9,7.3,2.3
France,Rennes,0.9982506437217661,1.6404191742813221,2.721239,Cluster 2,1.7,1.6,1.5,1.6,12.3,50.0,53.5,477.0956316410862,43.91304347826087,19.523809523809522,22.1,19.0,4.8,24.5,16.1,8.7,2.8
France,Strasbourg,1.549435251183585,1.9211715219708423,1.330083,Cluster 1,1.7,1.6,1.4,1.4,14.9,40.0,53.8,518.6363636363636,33.8,16.22641509433962,20.2,18.9,4.2,22.6,16.1,7.7,3.2
France,Toulouse,0.4817281468295079,0.39620960516422166,0.510769,Cluster 2,1.4,1.3,1.4,1.3,11.0,47.36842105263158,42.2,366.29901960784315,41.44736842105263,14.559386973180075,23.2,19.7,4.6,24.5,16.0,9.3,2.5
Germany,FC Koln,-0.9151807165639232,-1.1974617599963133,1.733478,Cluster 3,1.4,1.6,1.9,1.6,10.7,32.00000000000001,47.0,408.1381011097411,56.563245823389025,18.68131868131868,29.6,15.7,3.2,24.7,14.2,7.9,2.8
Germany,Augsburg,-1.5992232799627737,-1.2331166040596435,1.817451,Cluster 0,1.3,1.4,1.8,1.9,10.0,36.363636363636374,44.0,391.7617237008872,54.37352245862884,18.64406779661017,28.9,18.1,3.9,22.7,15.9,8.5,3.1
Germany,Bayer Leverkusen,1.83250135984392,2.23214386373055,3.74464,Cluster 1,2.0,1.9,1.4,1.4,13.2,37.83783783783785,59.2,605.328798185941,47.01195219123506,18.25726141078838,21.4,18.5,3.9,27.7,14.1,7.4,3.5
Germany,Bayern Munchen,7.177149426833211,6.4494558083780635,10.187292,Cluster 1,3.6,3.0,1.1,1.2,18.7,44.89795918367348,67.4,700.9977827050997,45.06578947368421,16.037735849056602,17.0,20.8,5.5,41.0,12.8,8.4,2.0
Germany,Borussia Dortmund,3.7280436253926874,2.276628181766555,5.771746,Cluster 2,2.1,1.9,1.0,1.2,15.8,48.38709677419355,53.2,493.2384341637011,48.0,19.691119691119688,23.9,21.3,4.7,27.5,14.4,8.0,2.6
Germany,Borussia Monchengladbach,-0.505036844359794,-2.2761375775853963,1.405258,Cluster 0,1.2,1.3,1.6,1.5,10.6,44.44444444444444,46.7,442.2843256379101,48.148148148148145,15.18987341772152,31.1,17.6,2.6,21.1,16.5,9.5,4.0
Germany,Eintracht Frankfurt,0.5097154843475817,-0.10957723329833909,2.998798,Cluster 3,1.8,1.3,1.9,1.5,14.9,40.0,55.0,497.85969084423306,52.44444444444444,14.977973568281937,25.7,16.6,3.3,24.1,15.6,9.3,2.9
Germany,FC Heidenheim,-2.3031055598970642,-3.4262188022536315,1.139474,Cluster 0,1.2,1.4,2.1,1.9,10.6,28.000000000000004,42.2,362.54876462938876,62.700228832951936,16.8,32.5,16.1,2.9,19.5,15.4,9.2,3.4
Germany,Freiburg,0.1804536896961903,-1.1977461057418741,2.5964,Cluster 3,1.5,1.4,1.7,1.4,12.2,40.90909090909092,48.1,406.51906519065193,52.262443438914026,17.562724014336922,27.8,17.2,2.7,22.3,14.4,8.6,3.0
Germany,Hamburger SV,-1.784803617699894,-2.811916709695435,1.566265,Cluster 0,1.2,1.2,1.6,1.8,9.6,33.333333333333336,45.4,389.97524752475255,55.581395348837205,15.879828326180258,32.2,15.4,2.7,19.9,15.0,8.8,3.4
Germany,Hoffenheim,1.3262255584772864,1.377355058583117,2.127607,Cluster 2,1.9,1.6,1.5,1.5,13.5,42.85714285714285,55.2,472.27722772277235,56.54205607476636,20.279720279720276,30.6,21.6,5.3,28.0,15.5,8.0,2.9
